Zirina's Deck :
"3","Jace, the Mind Sculptor"
"4","Ponder"
"3","Supreme Verdict"
"4","Brainstorm"
"2","Counterspell"
"2","Enlightened Tutor"
"4","Force of Will"
"2","Swords to Plowshares"
"2","Engineered Explosives"
"2","Helm of Obedience"
"1","Back to Basics"
"1","Detention Sphere"
"3","Energy Field"
"1","Luminarch Ascension"
"4","Rest in Peace"
"4","Flooded Strand"
"7","Island"
"1","Karakas"
"3","Plains"
"3","Scalding Tarn"
"3","Tundra"
"1","Volcanic Island"
"60 Cards ","Sideboard (15)"
"2","Swords to Plowshares"
"1","Arcane Laboratory"
"1","Council's Judgment"
"1","Ethersworn Canonist"
"2","Flusterstorm"
"1","Gideon, Ally of Zendikar"
"1","Humility"
"2","Meddling Mage"
"3","Monastery Mentor"
"1","Pithing Needle"

javierhdez3's Deck :
"4","Eldrazi Mimic"
"2","Endbringer"
"3","Endless One"
"4","Matter Reshaper"
"2","Oblivion Sower"
"4","Reality Smasher"
"4","Thought-Knot Seer"
"1","Ulamog, the Ceaseless Hunger"
"1","Ulamog, the Infinite Gyre"
"2","All Is Dust"
"4","Chalice of the Void"
"3","Grim Monolith"
"1","Umezawa's Jitte"
"4","Ancient Tomb"
"4","Cloudpost"
"4","Eldrazi Temple"
"4","Eye of Ugin"
"4","Glimmerpost"
"1","Urborg, Tomb of Yawgmoth"
"4","Vesuva"
"60 Cards ","Sideboard (15)"
"1","Oblivion Sower"
"4","Faerie Macabre"
"2","Ratchet Bomb"
"3","Sorcerous Spyglass"
"4","Thorn of Amethyst"
"1","Wastes"

Eruxus's Deck :
"4","Golgari Grave-Troll"
"3","Golgari Thug"
"3","Ichorid"
"4","Narcomoeba"
"2","Prized Amalgam"
"4","Stinkweed Imp"
"4","Street Wraith"
"3","Breakthrough"
"4","Cabal Therapy"
"3","Careful Study"
"1","Dread Return"
"4","Faithless Looting"
"4","Lion's Eye Diamond"
"4","Bridge from Below"
"3","Cephalid Coliseum"
"4","City of Brass"
"2","Gemstone Mine"
"4","Mana Confluence"
"60 Cards ","Sideboard (15)"
"1","Dread Return"
"1","Ashen Rider"
"3","Faerie Macabre"
"3","Firestorm"
"1","Iona, Shield of Emeria"
"3","Silent Gravestone"
"3","Wear // Tear"

