nathansteuer's Deck :
"4","Glint-Sleeve Siphoner"
"4","Jadelight Ranger"
"3","Merfolk Branchwalker"
"4","Ravenous Chupacabra"
"2","Rishkar, Peema Renegade"
"4","Verdurous Gearhulk"
"4","Walking Ballista"
"4","Winding Constrictor"
"2","Blossoming Defense"
"3","Fatal Push"
"2","Aethersphere Harvester"
"4","Aether Hub"
"4","Blooming Marsh"
"4","Forest"
"3","Foul Orchard"
"2","Hashep Oasis"
"7","Swamp"
"60 Cards ","Sideboard (15)"
"1","Fatal Push"
"4","Duress"
"2","Golden Demise"
"2","Lifecrafter's Bestiary"
"2","Silent Gravestone"
"1","Skysovereign, Consul Flagship"
"1","Tetzimoc, Primal Death"
"2","Vraska's Contempt"

TYHENDO's Deck :
"2","Chandra, Torch of Defiance"
"4","Ahn-Crop Crasher"
"4","Bomat Courier"
"1","Dire Fleet Daredevil"
"4","Earthshaker Khenra"
"4","Fanatical Firebrand"
"3","Hazoret the Fervent"
"2","Kari Zev, Skyship Raider"
"3","Relentless Raptor"
"4","Lightning Strike"
"4","Shock"
"3","Path of Mettle"
"4","Inspiring Vantage"
"11","Mountain"
"4","Plains"
"3","Shefet Dunes"
"60 Cards ","Sideboard (15)"
"3","Dire Fleet Daredevil"
"1","Chandra, Torch of Defiance"
"3","Abrade"
"3","Glorybringer"
"2","Ixalan's Binding"
"2","Slaughter the Strong"
"1","Sunscourge Champion"

Slithice's Deck :
"3","Angel of Invention"
"2","Champion of Wits"
"4","Glint-Nest Crane"
"4","Glint-Sleeve Siphoner"
"2","Hostage Taker"
"4","Minister of Inquiries"
"1","Ravenous Chupacabra"
"3","Trophy Mage"
"4","Walking Ballista"
"2","Fatal Push"
"1","Aethersphere Harvester"
"4","Gate to the Afterlife"
"2","God-Pharaoh's Gift"
"4","Aether Hub"
"4","Concealed Courtyard"
"4","Drowned Catacomb"
"1","Fetid Pools"
"3","Ipnu Rivulet"
"4","Island"
"4","Swamp"
"60 Cards ","Sideboard (15)"
"1","Champion of Wits"
"2","Ravenous Chupacabra"
"1","Fatal Push"
"3","Duress"
"2","Kitesail Freebooter"
"2","Negate"
"2","The Scarab God"
"2","Vraska's Contempt"

Graciasportanto's Deck :
"4","Deeproot Elite"
"3","Jade Bearer"
"1","Jadelight Ranger"
"3","Jungleborn Pioneer"
"4","Kumena, Tyrant of Orazca"
"4","Kumena's Speaker"
"4","Merfolk Branchwalker"
"4","Merfolk Mistbinder"
"4","Silvergill Adept"
"2","Tempest Caller"
"1","Spell Pierce"
"4","Unsummon"
"4","Botanical Sanctum"
"5","Forest"
"4","Hashep Oasis"
"5","Island"
"4","Unclaimed Territory"
"60 Cards ","Sideboard (15)"
"2","Spell Pierce"
"1","Baral's Expertise"
"2","Herald of Secret Streams"
"1","Life Goes On"
"3","Naturalize"
"2","Negate"
"2","Nissa, Steward of Elements"
"2","Seafloor Oracle"

No_Justice's Deck :
"2","Baral, Chief of Compliance"
"4","Champion of Wits"
"1","Chaos Maw"
"4","Combat Celebrant"
"4","Minister of Inquiries"
"4","Vizier of Many Faces"
"4","Cathartic Reunion"
"4","Chart a Course"
"3","Madcap Experiment"
"4","Refurbish"
"4","Strategic Planning"
"4","God-Pharaoh's Gift"
"4","Aether Hub"
"4","Inspiring Vantage"
"4","Island"
"1","Mountain"
"1","Plains"
"4","Spirebluff Canal"
"60 Cards ","Sideboard (15)"
"2","Chandra's Defeat"
"4","Negate"
"1","Spell Pierce"
"3","Sunscourge Champion"
"3","Sweltering Suns"
"2","The Locust God"

